sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer
Two competing online retailers process credit card transactions for customers in countries on every continent. One organization is based in the United States. The other is based in the Netherlands. With which regulation must both countries comply while ensuring the security of these transactions?;Federal Information Security Managment Act (FISMA);Payment Card Industry Data Security Standard (PCI-DSS);General Data Protection Regulation (GDPR);International Organization for Standardization and International Electrotechnical Commission (ISO/IEC 27018);B
What provides a common language for describing security incidents in a structures and repeatable manner?;Common event format;common weakness enumeration;common vulnerabilties and exposures;common vulnerability scoring system;C
Which type of application can intercept sensative information such as passwords on a network segment?;log server;network scanner;firewall;protocol analyzer;D
An attacker has discovered that they can deduce a sensitive piece of confidential information by analyzing multiple pieces of less sensitive public data. What type of security issue exists?;aggregation;inference;SQL injection;cross-origin resouce sharing;B
What act grants an authenticated party permission to perform an action or access a resource?;Zero Trust Security;Role-Based Access Control (RBAC);authorization;Single Sign-On;C
According to GDPR, a data \_ is the person about whom data is being collected.;processor;object;subject;controller;C
Which is not a principle of zero trust security?;use least privilege access;verify explicitly;trust but verify;assume breach;C
Which attack exploits input validation vulnerabilities?;ARP spoofing;pharming attacks;cross-site scripting (XSS);DNS poisoning;C
You are a security analyst, and you receive a text message alerting you of a possible attack. Which security control is the _least_ likely to produce this type of alert?;IDS;SIEM;packet sniffer;IPS;C
SQL injection inserts a code fragment that makes a database statement universally true, like **\_**.;"`SELECT * FROM users WHERE username = "" AND 1=1--'`";"`SELECT * FROM users WHERE username = "" AND 1!=1--'`";"`SELECT * FROM users WHERE username = "" OR 1=1--'`";"`SELECT * FROM users WHERE username = "" OR 1!=1--'`";C
Which type of security assessment requires access to source code?;static analysis;black box testing;dynamic analysis;penetration testing;A
Which option is an open-source solution to scanning a network for active hosts and open ports?;Autopsy;Snort;Nmap;Wireshark;C
When implementing a data loss prevention (DLP) strategy, what is the first step in the process?;Evaluate the features of available DLP products to determine which best meet your organizations's needs.;Examine the flow of sensitive data in your organization to better understand usage patterns.;Conduct an inventory of all the data in your organization to establish classifications based on sensitivity.;Conduct a risk assessment to determine the best data labeling strategy for your organization.;A
Which malware changes an operating system and conceals its tracks?;virus;worm;rootkit;Trojan horse;C
Virtual Private Networks (VPNs) use **\_** to create a secure connection between two networks.;encryption;a metropolitan area network;a virtual local area network;a wide area network;A
What is the process of challenging a user to prove their identity?;authentication;Single Sign-On;authorization;Role-Based Access Control (RBAC);A
Which cyberattack aims to exhaust an application's resources, making the application unavailable to legitimate users?;SQL injection;dictionary attack;Distributed Denial of Service (DDoS);rainbow table attack;C
You are a recent cybersecurity hire, and your first assignment is to present on the possible threats to your organization. Which of the following best describes the task?;risk mitigation;threat assessment;risk management;enumeration;C
You are at a coffee shop and connect to a public wireless access point (WAP). What a type of cybersecurity attack are you most likely to experience?;man-in-the-middle attack;back door;logic bomb;virus;A
You have been tasked with recommending a solution to centrally manage mobile devices used throughout your organization. Which technology would best meet this need?;Extended Detection and Responde (XDR);Security Information Event Management (SIEM);Intrusion Detection and Prevention System (IDPS);Mobile Device Management (MDM);D
Which type of vulnerability cannot be discovered in the course of a typical vulnerability assessment?;file permissions;buffer overflow;zero-day vulnerability;cross-site scripting;C
The DLP project team is about to classify your organization's data. Whats is the primary purpose of classifying data?;It identifies regulatory compliance requirements.;It prioritizes IT budget expenditures.;It quantifies the potential cost of a data breach.;It establishes the value of data to the organization.;C
You are responsible for managing security of your organization's public cloud infrastructure. You need to implement security to protect the data and applications running in a variety of IaaS and PaaS services, including a new Kubernetes cluster. What type of solution is best suited to this requirement?;Cloud Workload Protection Platforms (CWPP);Cloud Security Posture Management (CSPM);Cloud Access Security Brokers (CASBs);Intrusion Detection and Prevention System (IDPS);A
Sharing account credentials violates the **\_** aspect of access control.;identification;authorization;accounting;authentication;B
You have recovered a server that was compromised in a malware attack to its previous state. What is the final step in the incident response process?;Eradication / Remediation;Certification;Reporting;Lessons Learned;D
Which encryption type uses a public and private key pair for encrypting and decrypting data?;asymmetric;symmetric;hashing;all of these answers;A
You have just identified and mitigated an active malware attack on a user's computer, in which command and control was established. What is the next step in the process?;Reporting;Recovery;Eradiction / Remediation;Lessons Learned;C
Which programming language is most susceptible to buffer overflow attacks?;C;Java;Ruby;Python;A
Which list correctly describes risk management techniques?;risk acceptance, risk mitigation, risk containment, and risk qualification;risk avoidance, risk transference, risk containment, and risk quantification;risk avoidance, risk mitigation, risk containment, and risk acceptance;risk avoidance, risk transference, risk mitigation, and risk acceptance;D
To implement encryption in transit, such as with the HTTPS protocol for secure web browsing, which type(s) of encryption is/are used?;asymmetric;both symmetric and asymmetric;neither symmetric or asymmetric;symmetric;B
Which type of program uses Windows Hooks to capture keystrokes typed by the user, hides in the process list, and can compromise their system as well as their online access codes and password?;trojan;keystroke collector;typethief;keylogger;D
How does ransomware affect a victim's files?;by destroying them;by encrypting them;by stealing them;by selling them;B
Your computer has been infected, and is sending out traffic to a targeted system upon receiving a command from a botmaster. What condition is your computer currently in?;It has become a money mule.;It has become a zombie.;It has become a bastion host.;It has become a botnet.;B
You choose a cybersecurity framework for your financial organization that implements an effective and auditable set of governance and management processes for IT. Which framework are you choosing?;C2M2;NIST SP 800-37;ISO/IEC 27001;COBIT;B
NIST issued a revision to SP 800-37 in December 2018. It provides a disciplined, structured, and flexible process for managing security and privacy risk. Which type of document is SP 800-37?;a risk management framework;a guide to risk assessments;a guideline for vulnerability testing;a step-by-step guide for performing business impact analyses;A
The most notorious military-grade advanced persistent threat was deployed in 2010, and targeted centrifuges in Iran. What was this APT call?;duqu;agent BTZ;stuxnet;flame;C
Where would you record risks that have been identified and their details, such as their ID and name, classification of information, and the risk owner?;in the risk assessment documentation;in the risk register;in the business impact ledger;in the Orange Book;B
To prevent an incident from overwhelming resources, \_ is necessary.;disconnection from the network;early containment;continuation of monitoring for other incidents;eradication of the issues;B
FUD is expensive and often causes high drama over low risk. Which computer chip exploits were reported by CNN as needing to be completely replaced, but were later fixed with firmware updates?;fire and ice exploits;meltdown and spectre exploits;Intel and STMicro CPU exploits;super microboard and Apple iPhone exploits;B
The ASD Top Four are application whitelisting, patching of applications, patching of operating systems, and limiting administrative privileges. What percent of breaches do these account for?;40 percent;60 percent;85 percent;100 percent;C
You are working in the security operations center analyzing traffic on your network. You detect what you believe to be a port scan. What does this mean?;This could be a specific program being run by your accounting department.;This is an in-progress attack and should be reported immediately;This is normal operation for your business.;This could be a precursor to an attack.;D
How often is the ISF Standard of Good Practice updated?;annual;biannually;bimonthly;monthly;A
Your incident response team is unable to contain an incident because they lack authority to take action without management approval. Which critical step in the preparation phase did your team skip?;From an incident response committee to oversee any incidents that may occur.;Get preauthorized to take unilateral action and make or direct emergency changes.;Bring management in as leadership on the incident response team.;Assign a head of the emergency response team who has the correct authority;B
NIST SP 800-53 is one of two important control frameworks used in cybersecurity. What is the other one?;ISO 27001;NIST SP 800-54;ISO 27002;NIST SP 751-51;C
Which organization, established by NIST in 1990, runs workshops to foster coordination in incident prevention, stimulate rapid reaction to incidents, and allow experts to share information?;Forum of Incident Response and Security Teams;Crest UK Response Teams;Community of Computer Incident Response Teams;NIST Special Publication 800-61 Response Teams;A
You have implemented controls to mitigate the threats, vulnerabilities, and impact to your business. Which type of risk is left over?;inherent risk;residual risk;applied risk;leftover risk;B
There are four possible treatments once an assessment has identified a risk. Which risk treatment implements controls to reduce risk?;risk mitigation;risk acceptance;risk avoidance;risk transfer;A
Which security control scheme do vendors often submit their products to for evaluation, to provide an independent view of product assurance?;Common Criteria;risk management certification board;OWASP security evaluation;ISO 27000;A
Which organization has published the most comprehensive set of controls in its security guideline for the Internet of Things?;IoT ISACA;IoT Security Foundation;OWASP;GSMA;B
Which main reference coupled with the Cloud Security Alliance Guidance comprise the Security Guidance for Critical Areas of Focus in Cloud Computing?;ISO 27001;ISO 27017;Cloud Security Guidelines;Cloud Controls Matrix;D
According to NIST, what is the first action required to take advantage of the cybersecurity framework?;Identify the key business outcomes.;Understand the threats and vulnerabilities.;Conduct a risk assessment.;Analyze and prioritize gaps to create the action plan.;A
"You are implementing a cybersecurity program in your organization and want to use the ""de facto standard"" cybersecurity framework. Which option would you choose?";the ISACA Cybersecurity Framework;the COBIT Cybersecurity Framework;the ISC2 Cybersecurity Framework;the NIST Cybersecurity Framework;D
In 2014, 4,278 IP addresses of zombie computers were used to flood a business with over one million packets per minute for about one hour. What is this type of attack called?;a salami attack;a DoS (Denial of Service) attack;a DDoS (Distributed Denial of Service) attack;a botnet attack;C
The regulatory requirements for notifications of data breaches, particularly the European General Data Protection Regulations, have had what sort of effect on business?;an increased business liability in the event of a data breach;an increased consumer liability in the event of a data breach;a decreased consumer liability in the event of a data breach;a decreased business liability in the event of a data breach;A
Which compliance framework governs requirements for the U.S. healthcare industry?;FedRAMP;GDPR;PCI-DSS;HIPAA;D
What is the difference between DevOps and DevSecOps?;DevSecOps requires the inclusion of cybersecurity engineers in the CI/CD process of DevOps.;DevSecOps slows down the CI/CD process of DevOps.;DevSecOps places security controls in the CI/CD process of DevOps.;DevSecOps lets cybersecurity engineers dictate the CI/CD process of DevOps.;A
When does static application security testing require access to source code?;always;only when assessing regulatory compliance;only if following the Agile model;never;A
Your organization service customer orders with a custom ordering system developed in-hose. You are responsible for recommending a cloud model to meet the following requirements:;government cloud;public cloud;hybrid cloud;private cloud;C
You have just conducted a port scan of a network. There is no well-known port active. How do you find a webserver running on a host, which uses a random port number?;Give up on the current target network and move on to the next one.;Switch to another network scanning tool. Resort to more resource-intensive probing, like launching random attacks to all open ports.;Turn on the stealth mode in your network scanning tool. Check whether you missed any other active ports associated with web servers.;Turn on additional options in your network scanning tool to further investigate the details (type and version) of applications running on the rest of the active ports.;D
Executives in your organization exchange emails with external business partners when negotiating valuable business contracts. To ensure that these communications are legally defensible, the security team has recommended that a digital signature be added to these message.;integrity and non-repudiation;privacy and non-repudiation;privacy and confidentiality;integrity and privacy;A
Which option is a mechanism to ensure non-repudiation?;MD5;Caesar cipher;symmetric-key encryption;asymmetric-key encryption;D
Which software development lifecycle approach is most compatible with DevSecOps?;Agile;Model-Driven Development;Waterfall;Model-Driven Architecture;A
Which information security principle states that organizations should defend systems against any particular attack using several independent methods?;separation of duties;privileged account management (PAM);defense-in-depth;least privilege;C
Which option describes a core principle of DevSecOps?;Testing and release should be 100% automated;Role separation is the key to software security;Final responsibility for security rests with the architect of the application;Everyone in the process is responsible for security;A
You need to implement a solution to protect internet-facing applications from common attacks like XSSm CSRF, and SQL injection. Which option is best suited to the task?;Security Information Event Management (SIEM);an Instruction Detection and Prevention System (IDPS) appliance;a web application firewall (WAF);a stateful packet inspection firewall;C
Which phase of the incident response process happens immediately following identification?;Eradication / Remediation;Reporting;Containment / Mitigation;Recovery;B
How can a data retention policy reduce your organization's legal liability?;by reducing DLP licensing costs;by ensuring that data is not retained beyond its necessary retention date;by destroying data that may implicate company executives in dishonest behavior;by reducing cost associated with data storage and protection;B
You believe a recent service outage due to a denial-of-service attack from a disgruntled inside source. What is the name for the malicious act this employee has committed?;espionage;sabotage;fraud;confidentiality breach;B
Which option is a framework widely utilized by organizations in the development of security governance standards?;Software Capability Maturity Model (SW-CMM);Control Objectives for Information and Related Technologies (COBIT);The Open Group Architecture Framework (TOGAF);Software Development Life Cycle (SDLC);B
There are connection-oriented and connectionless protocols in networking. What do web browsers use to ensure the integrity of the data it sends and receives?;UDP that is connection-oriented;TCP that is connection-oriented;UDP that is connectionless;TCP that is connectionless;B
Which type of attack targets vulnerabilities associated with translating MAC addresses into IP addresses in computer networking?;DNS poisoning;CRL trapping;ARP spoofing;DDoS;C
You are part of an incident response team at your company. While sifting through log files collected by a SIEM, you discover some suspicious log entries that you want to investigate further. Which type of the following best refers to those recorded activities demanding additional scrutiny?;attack;information;threat;event;D
You are responsible for forensic investigations in your organization.You have been tasked with investigating a compromised virtual application server. Becase a revenue generating application runs on the server, the server needs to be returned to service as quickly as possible.;Restore the server from backup immediately.;Take the server offline until your investigation is complete.;Take a snapshot of the compromised virtual server for your investigation.;Restart the server. Remediate the issue after business hours.;C
Site-to-site VPN provides access from one network address space (192.168.0.0/24) to another network address space _ site-to-site VPN provides access from one network address space (192.168.0.0/24) to another network address space _.;192.168.0.1/24;192.168.0.3/24;10.10.0.0/24;192.168.0.2/24;A
You are researching probable threats to your company’s internet-facing web applications. Which organization should you reference as an authoritative source for information on web-based attack vectors?;EC-Council;ISACA;NIST;OWASP;D
Which action is most likely to simplify security staff training, improve integration between security components, and reduce risk to the business? (Choose the best answer.);"adopting a ""best-in-suite"" approach to security";"adopting a ""trust but verify"" approach to security";"adopting a ""best-of-breed"" approach to security";"adopting a ""defense-in-depth"" approach to security";B
**\_** attacks can execute the code injected by attackers as part of user inputs.;Ping of death;Buffer overflow;Distributed Denial of Service;Denial of Service;B
Which activity is _not_ part of risk assessment?;identifying and valuing assets;analyzing risks by criticality and cost;discontinuing activities that introduce risk;identifying threats and analyzing vulnerabilities;C
In response to an alert regarding a possible security incident, you are analyzing the logs for a web application. In the process, you see the following string: `./../../../var/secrets` What type of attack was most likely attempted against the application?;brute force;session hijacking;cross-site scripting;directory traversal;D
Which quadrant should be the focus of risk management?;2;1;3;4;A
Which option will not actively identify a security incident?;Extended Detection and Response (XDR);Cloud Security Posture Management (CSPM);Security Information Event Management (SEIM);Endpoint Detection and Response (EDR);B
Which option is a list of publicly disclosed information security defects?;DBIR;CVE;CWE;CERT;C
What does a metamorphic virus do?;Static analyser;Antivirus;Generates a whole variable code using a variable encryptor;Mutation function;C
What is the most common cause of cyber incidents in organisations?;Vulnerabilities in softwares;Social Engineering;Ransomware;Phishing;B
Which of the following terms is used to describe a collection of unrelated patches?;Hotfix;Update;Security Fix;Service Pack;A
What Term is used to descrbe the defualt set of privileges assigned to a user when a new account is created?;Aggregation;Transitivity;Baseline;Entitlement;D
Who is the father of computer security??;August Kerckhoffs;Bob Thomas;Charles Thomas;Robert Kerckhoffs;A
Which type of attack uses formal emails to entice specific individuals into signing in and changing their passwords?;vishing;spear phishing;brute force attack;password spray attack;B
A data asset register should contain which of the following?;the location of the data.;The value of the asset.;The owner of the asset.;All of these options.;D
Once you have confirmed that Burpsuite is intercepting website requests, where can you check to see if you have credentials in cleartext to access the target webpage?;Select Go on the Repeater tab;See the loopback address and port are on in the Options tab;Check the Raw section in the Intercept tab;Check for a login.php line in the Proxy tab;D
Threat actors will attempt to find an attack vector on their target by mapping the attack **\_**.;surface;infrastructure;threat;door;A
How would an organisation ensure software product support in the event a supplier goes out of business or is sold to a competitor?;They could employ the software developers once the supplier organisation has gone out of business.;They could ensure support by acquiring the supplier organisation.;They could ensure support through an escrow agreement.;They could reverse engineer the product so that it could be supported in-house.;C
Which of the following is the security standard that applies to the certification of security controls within products?;ISO/IEC 27001.;ISO/IEC 9000.;ISO/IEC 15408.;ISO/IEC 13335.;C
What is the main role of the board member known as the information security manager?;To ensure appropriate security controls are implemented across the organisation.;To provide day-to-day management of the information assurance function.;To have a detailed understanding of the organisation's vulnerabilities.;To have a detailed understanding of threats faced by the organisation.;A
What are the two main approaches used to determine the likelihood of a threat occurring?;Qualitative and statistical;Statistical and quantitative;Statistical and assumptive;Qualitative and quantitative;D
Which type of hackers are often organized and funded by a nation's military intelligence or security services, and attempt to gain access to a foreign adversary's state secrets or military intelligence?;hacktivists;competitors;black hat hackers;state-sponsored hackers;D
Which of the following methods combines two binary streams to create one new stream that contains hidden information that cannot be retrieved without the other stream that was used to create it?;substitution cipher;weaponization;transposition cipher;XOR encryption;D
What is Drupalgeddon?;A web app proxy tool;A DDoS bot;A network packet capturing device;a SQL injection flaw;D
The algorithm used by an encryption technique to hide information is known as the **\_**.;cipher;XOR;encoding;cyber kill chain;A
Which of these is not an issue that could arise as a result of outsourcing software development?;The accidental or deliberate introduction of malicious code.;The loss of intellectual property or trade secrets.;Legal disputes could develop between the customer and the supplier.;The laws on the protection of data do not apply to information sent to a third party.;D
A **\_** hat is a hacker who may not operate according to ethical testing standards, but does not have malicious intent.;gray;blue;red;purple;A
Understanding that multifactor authentication (MFA) is a best practice, which option should be avoided as a secondary authentication factor in MFA whenever possible?.;biometric authentication;OAUTH Token;authenticator apps;SMS message;D
