sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer;Explanation;Difficulty;Domain
As a system administrator, you need to implement granular firewall rules on multiple Windows Servers based on Active Directory group membership. What is the most efficient and manageable way to achieve this using native Windows features?;Manually configure Windows Firewall with Advanced Security on each server.;Use Group Policy Objects (GPOs) linked to OUs containing the servers to deploy firewall rules.;Write PowerShell DSC configurations for each server.;Implement IPsec rules for authentication and filtering.;B;Group Policy is the standard, scalable method in Windows environments to centrally manage configuration settings, including detailed firewall rules, across multiple domain-joined computers based on OU structure and security group filtering.;Medium;Operating Systems Security
You receive an alert indicating numerous failed SSH login attempts targeting the root account from various source IPs on a public-facing Linux server. Which immediate configuration change offers the most effective hardening against this specific brute-force attack vector?;Install and configure fail2ban.;Disable root login entirely via SSH (PermitRootLogin no in sshd_config).;Change the default SSH port from 22 to a non-standard port.;Implement complex password requirements for the root account.;B;Directly disabling root login via SSH (PermitRootLogin no) completely eliminates the possibility of brute-forcing the root account password remotely, forcing attackers to guess valid usernames first, which is a fundamental hardening step.;Medium;Operating Systems Security
A Linux file server stores sensitive project data. The requirement is that new files and directories created within project shares must automatically inherit the group ownership of the parent directory and allow group members full access, while restricting others. What is the most effective combination of standard Linux features to achieve this?;Use chmod -R 770 periodically.;Set the setgid bit on the project directories and configure an appropriate umask for users.;Implement Filesystem ACLs (Access Control Lists) on the project directories.;Configure NFS export options with rw,sync,no_root_squash.;B;Setting the setgid bit on a directory ensures new files/dirs inherit its group ownership. A user umask (e.g., 002 or 007) ensures new files/dirs get appropriate default permissions (like rw-rw-r-- or rwxrwx---), correctly implementing the requirement using standard features.;Hard;Operating Systems Security
You are tasked with securing a macOS system used by a developer who frequently downloads tools from various internet sources. Which built-in feature is most critical to configure correctly to prevent the execution of unsigned or unnotarized applications, thus mitigating malware risk?;Time Machine backups.;Gatekeeper settings (e.g., 'App Store and identified developers').;System Integrity Protection (SIP).;FileVault full-disk encryption.;B;Gatekeeper is specifically designed to control which applications are allowed to run based on their source (App Store) and whether they are signed by an identified developer and notarized by Apple, directly addressing the risk of running untrusted downloaded code.;Medium;Operating Systems Security
During a security audit on a Windows domain controller, you discover the built-in Administrator account is enabled and has recently logged in. What is the recommended best practice according to Microsoft security guidelines?;Disable the built-in Administrator account and rename it.;Delete the built-in Administrator account.;Ensure the Administrator account has a 25+ character complex password rotated weekly.;Rename the built-in Administrator account and leave it enabled for emergency use.;A;Best practice is to rename the well-known Administrator account (making it harder to target) AND disable it. A separate, uniquely named account should be used for administrative tasks.;Medium;Operating Systems Security
Your organization uses Linux servers for critical applications and requires the highest level of process isolation and security policy enforcement, exceeding standard discretionary access controls. Which framework should be implemented and configured?;Implement strict iptables rules for network filtering.;Utilize Linux Capabilities (libcap) to grant specific privileges.;Integrate and configure SELinux in enforcing mode with a targeted policy.;Deploy applications within Docker containers.;C;SELinux provides Mandatory Access Control (MAC), enforcing fine-grained permissions based on security labels and policies, offering significantly stronger isolation and control than standard permissions, capabilities, or basic containerization alone.;Hard;Operating Systems Security
You confirm a sophisticated rootkit infection on a macOS device that persists across reboots and standard removal attempts. Considering the depth of modification potential with rootkits, what is the most reliable method to ensure complete removal and system trustworthiness?;Boot into macOS Recovery and use Disk Utility's First Aid.;Use a reputable third-party anti-rootkit scanner.;Perform a clean reinstall of macOS after completely wiping/reformatting the internal storage.;Enable System Integrity Protection (SIP) if it was disabled.;C;Due to the invasive nature of rootkits, which can modify the kernel and hide deeply, the only truly reliable method to guarantee removal is to completely erase the storage device (wipe/reformat) and then perform a fresh installation of macOS from trusted media.;Hard;Operating Systems Security
Following a malware incident on several Windows workstations, the incident response team needs to verify the integrity of core operating system files and potentially repair corruption caused by the malware. Which native command-line tool should be run first for this purpose?;DISM /Online /Cleanup-Image /RestoreHealth;sfc /scannow;chkdsk /f /r;format C: /q;B;sfc /scannow (System File Checker) is the primary tool to scan protected system files, verify their versions/integrity, and replace incorrect/corrupted versions with correct ones from the system cache, making it the appropriate first step for checking core OS file integrity after potential malware damage.;Medium;Operating Systems Security
Which command would you use on a Linux system to view a chronological list of user logins, logouts, system boots, and shutdowns, essential for tracking system access history?;who;/var/log/auth.log or /var/log/secure;w;last;D;The last command reads from the /var/log/wtmp file to display a history of user sessions, reboots, and shutdowns, providing a crucial audit trail for system access.;Easy;Operating Systems Security
In Windows, which specific log within the Event Viewer should you primarily consult to investigate failed user authentication attempts, crucial for detecting brute-force or password-guessing attacks?;System Log;Application Log;Security Log;Setup Log;C;The Security Log records events related to security, such as valid and invalid logon attempts (auditing must be enabled), making it the essential log for investigating authentication failures.;Easy;Operating Systems Security
On macOS, which security feature is primarily designed to protect core system files and processes from modification, even by the root user, thus preventing many forms of malware and system destabilization?;FileVault;Gatekeeper;System Integrity Protection (SIP);Xprotect;C;System Integrity Protection (SIP), sometimes called "rootless," restricts the root account and prevents modification of protected system locations and processes, enhancing overall system security and integrity.;Easy;Operating Systems Security
A Windows server is experiencing a SYN flood attack, exhausting its resources by handling half-open connections. Within the Windows Firewall with Advanced Security console, which specific feature is designed to mitigate this type of Denial-of-Service attack?;Configuring inbound block rules for the attacking IPs.;Enabling SYN attack protection on the relevant firewall profiles.;Setting up IPsec connection security rules.;Increasing the maximum number of allowed connections.;B;Windows Firewall includes specific settings under profile customization (e.g., Protected settings -> Customize -> IPsec settings -> Enable SYN attack protection) designed to handle SYN floods more effectively than just blocking IPs or generic connection limits.;Hard;Operating Systems Security
While performing a security audit on a Linux server using automated tools, which open-source tool specifically scans the system configuration, performs security tests based on standards like CIS Benchmarks, checks for vulnerabilities, and suggests hardening improvements?;nmap;OpenSCAP;Metasploit Framework;Lynis;D;Lynis is an extensible security auditing tool designed specifically for Unix/Linux systems. It performs in-depth configuration checks, vulnerability scanning, and provides actionable hardening advice, distinguishing it from network scanners (nmap), exploit frameworks (Metasploit), or compliance-focused scanners (OpenSCAP, though related).;Medium;Operating Systems Security
On macOS, a user accidentally downloads a potentially malicious application from an untrusted website. Which security mechanism, if properly configured, would explicitly prompt the user or block the application from running because it wasn't downloaded from the App Store or a verified source?;Screen Time restrictions;Gatekeeper;System Integrity Protection (SIP);FileVault;B;Gatekeeper's primary function is to enforce policies on which applications can run based on their source and developer signature/notarization status, directly addressing the scenario of running apps from untrusted sources.;Medium;Operating Systems Security
Your organization's Windows endpoints are increasingly targeted by fileless malware that executes directly in memory or uses legitimate system tools (Living Off the Land). Which Windows Defender feature provides the most relevant protection against such techniques by monitoring process behaviors and blocking suspicious script execution?;Windows Defender Antivirus Real-time Protection;Windows Defender Firewall;Windows Defender Exploit Guard (Attack Surface Reduction rules);BitLocker Drive Encryption;C;Windows Defender Exploit Guard, particularly its Attack Surface Reduction (ASR) rules, are specifically designed to block behaviors common to fileless malware and LOLBins attacks, such as script obfuscation, suspicious process creation, and exploitation techniques, going beyond traditional signature-based detection.;Hard;Operating Systems Security
On a Linux production server, you suspect a malicious script is being triggered periodically via cron. Beyond checking /etc/crontab and user crontabs (crontab -l), where else should you investigate to find system-wide scheduled tasks that might be abused?;/etc/init.d/ or /etc/systemd/system/;/etc/anacrontab and files within /etc/cron.d/, /etc/cron.hourly/, /etc/cron.daily/, etc.;/var/log/cron;/etc/profile and user .bashrc files.;B;System-wide cron jobs on modern Linux are often placed as individual files within /etc/cron.d/ or in the time-based directories (/etc/cron.hourly, /etc/cron.daily, etc.). anacron handles jobs that might have been missed due to downtime. These locations must be checked in addition to the main crontab files.;Medium;Operating Systems Security
Which macOS security technology requires applications distributed outside the App Store to be submitted to Apple for automated security scanning before Gatekeeper will permit them to run by default on newer macOS versions, thereby reducing malware distribution?;Developer ID signing;App Sandboxing;App Notarization;System Integrity Protection (SIP);C;App Notarization is the process where developers submit their apps (already signed with a Developer ID) to Apple for automated scanning. If approved, the app receives a "ticket" that Gatekeeper checks, assuring users the software isn't known malware.;Hard;Operating Systems Security
